user_id,transaction_type,merchant_type_code,amount_cents,datetime
38493,PurchaseActivity,5732,123994,2023-05-19T00:29:48.256019
38493,PurchaseActivity,5732,9995,2023-03-28T11:36:43.399245
38493,PurchaseActivity,5732,996,2023-03-28T11:38:37.041607
38493,PurchaseActivity,5732,9995,2023-03-28T11:54:55.770659
38493,PurchaseActivity,5732,9995,2023-03-28T12:13:31.300773
21853,PurchaseActivity,7299,299439,2023-03-28T12:17:20.93721
4413,PurchaseActivity,5300,42999,2023-05-19T23:16:01.580159
91293,PurchaseActivity,4829,515,2023-05-20T04:13:50.512175
34253,PurchaseActivity,4900,12171,2023-05-20T09:15:00.759672
91293,PurchaseActivity,5812,852,2023-04-28T11:40:14.84929
101373,PurchaseActivity,5942,500,2023-05-21T07:27:48.255143
5453,PurchaseActivity,7298,62198,2023-04-28T12:00:25.038975
56333,PurchaseActivity,5941,16763,2023-05-21T15:15:28.319194
18973,PurchaseActivity,7298,63145,2023-04-28T12:04:06.768456
81453,PurchaseActivity,8641,80000,2023-04-28T12:09:33.23242
56333,PurchaseActivity,8099,1402,2023-04-28T12:07:35.339375
93613,PurchaseActivity,5311,550,2023-05-22T07:13:22.686755
19293,PurchaseActivity,5944,31833,2023-04-28T12:24:06.539576
46253,PurchaseActivity,6513,87950,2023-04-28T12:27:58.547042
95373,PurchaseActivity,5817,2060,2023-04-28T12:35:41.246904
5853,PurchaseActivity,6513,106780,2023-04-28T12:44:23.355145
101613,PurchaseActivity,5734,3747,2023-05-22T18:15:55.313068
37133,PurchaseActivity,5311,11421,2023-03-29T11:26:36.125085
38493,ReturnActivity,5732,9997,2023-03-29T11:28:05.375346
38493,PurchaseActivity,5732,8782,2023-03-29T11:32:32.295922
87053,PurchaseActivity,5812,100000,2023-03-29T11:33:14.456619
38493,PurchaseActivity,5732,11772,2023-03-29T11:27:06.388799
38493,ReturnActivity,5732,4997,2023-03-29T11:28:13.099157
23933,PurchaseActivity,5977,25000,2023-03-29T11:37:48.420298
333,PurchaseActivity,5311,115000,2023-03-29T11:47:59.682916
104493,PurchaseActivity,5942,1000,2023-05-22T22:14:20.72827
37133,PurchaseActivity,5300,82490,2023-03-29T11:49:35.608539
38493,ReturnActivity,5732,9997,2023-03-29T11:51:58.465899
85373,PurchaseActivity,5111,8933,2023-03-29T11:55:19.100409
38493,PurchaseActivity,5732,5584,2023-03-29T11:50:28.237336
87453,PurchaseActivity,5942,650,2023-03-29T12:16:45.374375
56333,PurchaseActivity,8011,107345,2023-05-22T23:15:03.660229
38493,PurchaseActivity,5732,5584,2023-03-29T12:23:33.556093
94493,PurchaseActivity,5942,2500,2023-05-23T02:15:32.574789
5453,PurchaseActivity,7298,62234,2023-04-29T12:03:38.856617
75853,PurchaseActivity,5732,10724,2023-05-23T06:18:56.163353
19293,PurchaseActivity,8398,2680,2023-04-29T12:11:20.637398
9453,PurchaseActivity,5310,143600,2023-04-29T12:21:43.640464
96893,PurchaseActivity,4789,363300,2023-04-29T12:16:44.31174
18973,PurchaseActivity,7298,63178,2023-04-29T12:39:19.501548
46253,PurchaseActivity,5641,8539,2023-04-29T12:52:23.749527
95933,PurchaseActivity,5942,2300,2023-05-24T02:20:26.830903
38493,PurchaseActivity,5732,31980,2023-03-30T11:15:18.32646
96813,PurchaseActivity,5732,6800,2023-05-25T20:17:43.3011
38493,PurchaseActivity,5732,5584,2023-03-30T11:17:07.383336
38493,PurchaseActivity,5732,6782,2023-03-30T11:17:08.172138
96813,PurchaseActivity,6540,5000,2023-04-30T11:18:03.02032
46253,PurchaseActivity,6513,87950,2023-05-26T04:16:01.263152
21853,PurchaseActivity,7299,299439,2023-03-30T11:30:48.240727
76893,PurchaseActivity,6513,50000,2023-04-30T11:57:36.842858
56333,PurchaseActivity,5651,10286,2023-05-26T06:20:39.493431
38493,PurchaseActivity,5732,28782,2023-03-30T11:37:05.321518
76893,PurchaseActivity,6513,125000,2023-04-30T12:03:19.540664
95853,PurchaseActivity,5310,1202,2023-04-30T12:07:04.813504
38013,PurchaseActivity,4900,13417,2023-03-30T11:42:13.003732
85373,PurchaseActivity,5734,11870,2023-03-30T11:49:32.998899
87373,PurchaseActivity,5942,3306,2023-03-30T11:55:59.033621
38013,PurchaseActivity,6300,157100,2023-03-30T11:57:26.983806
17613,PurchaseActivity,7299,298410,2023-03-30T11:57:47.56786
38493,PurchaseActivity,5732,8985,2023-03-30T12:00:24.125106
37133,PurchaseActivity,8299,3000,2023-03-30T12:01:30.60174
37133,PurchaseActivity,8699,29500,2023-03-30T12:11:06.042724
44653,PurchaseActivity,5945,9901,2023-03-30T12:16:14.232831
6253,PurchaseActivity,5947,99938,2023-05-26T20:12:40.164603
38493,PurchaseActivity,5732,22584,2023-03-30T12:12:36.084769
34253,PurchaseActivity,7299,30004,2023-05-27T03:15:02.294841
97453,PurchaseActivity,6300,120378,2023-05-01T12:22:41.686503
104733,PurchaseActivity,5999,2500,2023-05-27T05:17:56.399961
91293,PurchaseActivity,5812,1038,2023-05-01T12:24:35.912448
95053,PurchaseActivity,6513,702000,2023-05-01T12:28:17.850366
38013,ReturnActivity,5655,5830,2023-03-31T12:57:47.358344
97453,PurchaseActivity,9399,151769,2023-05-01T12:36:24.398355
333,PurchaseActivity,5311,23495,2023-03-31T13:10:48.507033
54893,PurchaseActivity,5815,500,2023-05-01T12:50:32.02957
333,PurchaseActivity,5311,6364,2023-03-31T13:21:59.478099
34893,PurchaseActivity,5732,499975,2023-03-31T13:22:44.44452
12733,PurchaseActivity,5300,32495,2023-05-27T19:14:29.391151
38013,PurchaseActivity,4900,21583,2023-03-31T13:25:27.999495
72893,PurchaseActivity,5310,940,2023-05-28T14:20:08.852315
71453,PurchaseActivity,5311,93040,2023-05-28T17:12:58.904049
103293,PurchaseActivity,5942,69930,2023-05-28T23:13:03.685734
72893,PurchaseActivity,6300,73400,2023-05-29T02:12:52.294361
37133,PurchaseActivity,8699,29500,2023-04-01T11:49:13.487082
9453,PurchaseActivity,5310,4131,2023-05-02T05:14:33.102044
41293,PurchaseActivity,6513,201782,2023-04-01T11:55:36.093745
76893,PurchaseActivity,4899,952,2023-04-01T11:57:49.650439
76893,PurchaseActivity,4899,6999,2023-04-01T12:11:26.439563
37133,PurchaseActivity,5311,8295,2023-05-30T01:15:11.173465
6253,PurchaseActivity,5947,99938,2023-04-01T12:23:55.41047
17613,PurchaseActivity,7299,184191,2023-04-01T12:47:59.435465
18973,PurchaseActivity,7298,65245,2023-05-02T11:24:44.099569
9453,PurchaseActivity,5310,5817,2023-05-30T13:17:33.879953
16093,PurchaseActivity,4900,50000,2023-05-02T11:28:15.567972
5453,PurchaseActivity,7298,67123,2023-05-02T11:39:49.18449
90093,PurchaseActivity,5942,11996,2023-05-02T11:40:45.684821
36333,ReturnActivity,5734,4788,2023-05-02T11:40:59.025928
93533,PurchaseActivity,6012,100000,2023-05-02T11:44:42.715765
19293,PurchaseActivity,5651,6125,2023-05-02T12:13:17.323538
46413,PurchaseActivity,9399,7000,2023-05-31T06:17:02.705041
91293,PurchaseActivity,4829,515,2023-05-02T12:25:51.638591
73053,PurchaseActivity,5732,95600,2023-05-31T07:13:35.739863
73053,PurchaseActivity,5732,127600,2023-05-31T07:14:56.676358
91293,PurchaseActivity,4829,1400,2023-05-02T12:29:43.198989
91293,PurchaseActivity,4829,515,2023-05-02T12:31:33.591012
8093,PurchaseActivity,9311,10235,2023-05-31T09:13:59.137247
76893,PurchaseActivity,6513,23000,2023-04-02T11:17:35.513683
76893,PurchaseActivity,6513,2000,2023-04-02T11:17:52.25469
85533,PurchaseActivity,6012,10250,2023-04-02T11:20:36.686525
76893,PurchaseActivity,4899,25000,2023-04-02T11:24:05.724113
37133,PurchaseActivity,5732,29999,2023-05-02T12:30:29.906608
56333,PurchaseActivity,8062,168410,2023-05-31T10:33:17.951271
36333,PurchaseActivity,5734,4788,2023-04-02T11:38:24.40347
6253,PurchaseActivity,5947,99938,2023-04-02T11:58:36.091555
38493,PurchaseActivity,5732,8782,2023-04-02T12:03:48.122801
